airline,airline_sentiment,text
Virgin America,negative,Seats are too small and uncomfortable. @VirginAmerica #awful
United,negative,Lost my luggage again... extremely disappointed. @United #awful
Southwest,neutral,Average service. Could be better. @Southwest
US Airways,negative,Why is my flight always delayed without any notice? @USAirways #awful
Virgin America,positive,Super fast and efficient boarding process. Loved it! @VirginAmerica #amazing
Southwest,neutral,Boarding was standard. @Southwest
American,neutral,"Food was okay, pretty standard for airline food. @American"
Southwest,negative,Never flying with you again. Absolutely terrible. @Southwest #awful
American,negative,Terrible customer service on the phone. @American #awful
United,neutral,Boarding was standard. @United
Southwest,neutral,Got from A to B safely. @Southwest
American,positive,Smooth landing and great pilot. @American #amazing
American,neutral,"Food was okay, pretty standard for airline food. @American"
Virgin America,negative,Never flying with you again. Absolutely terrible. @VirginAmerica #awful
Delta,positive,Very comfortable seats and plenty of legroom. @Delta #amazing
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
Virgin America,neutral,"Flight was okay, nothing special. @VirginAmerica"
United,neutral,Average service. Could be better. @United
Southwest,neutral,Average service. Could be better. @Southwest
Delta,positive,Smooth landing and great pilot. @Delta #amazing
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
Southwest,positive,I had a wonderful flight experience today! The crew was so polite. @Southwest #amazing
Southwest,positive,Smooth landing and great pilot. @Southwest #amazing
US Airways,neutral,"Flight was okay, nothing special. @USAirways"
Virgin America,negative,"Food was awful, could not eat anything. @VirginAmerica #awful"
Virgin America,positive,Thank you for the amazing service. @VirginAmerica #amazing
Virgin America,positive,Very comfortable seats and plenty of legroom. @VirginAmerica #amazing
Virgin America,positive,Great customer service at the gate. @VirginAmerica #amazing
Virgin America,positive,Smooth landing and great pilot. @VirginAmerica #amazing
Virgin America,neutral,Average service. Could be better. @VirginAmerica
US Airways,positive,Thank you for the amazing service. @USAirways #amazing
Southwest,neutral,Got from A to B safely. @Southwest
American,positive,Very comfortable seats and plenty of legroom. @American #amazing
United,negative,Never flying with you again. Absolutely terrible. @United #awful
United,positive,Super fast and efficient boarding process. Loved it! @United #amazing
American,neutral,Got from A to B safely. @American
Southwest,neutral,"Flight was okay, nothing special. @Southwest"
Delta,negative,Seats are too small and uncomfortable. @Delta #awful
Virgin America,negative,Worst experience of my life. Flight delayed by 4 hours. @VirginAmerica #awful
Virgin America,negative,"Horrible boarding process, chaotic and stressful. @VirginAmerica #awful"
United,neutral,"Food was okay, pretty standard for airline food. @United"
Southwest,neutral,Arrived on time. Standard experience. @Southwest
United,positive,I had a wonderful flight experience today! The crew was so polite. @United #amazing
Virgin America,neutral,Boarding was standard. @VirginAmerica
Virgin America,negative,The staff was incredibly rude and unhelpful. @VirginAmerica #awful
United,negative,Lost my luggage again... extremely disappointed. @United #awful
Southwest,negative,Never flying with you again. Absolutely terrible. @Southwest #awful
United,negative,Seats are too small and uncomfortable. @United #awful
Delta,positive,I had a wonderful flight experience today! The crew was so polite. @Delta #amazing
United,negative,Seats are too small and uncomfortable. @United #awful
United,neutral,"Food was okay, pretty standard for airline food. @United"
United,negative,"Food was awful, could not eat anything. @United #awful"
US Airways,negative,Why is my flight always delayed without any notice? @USAirways #awful
Southwest,neutral,"Food was okay, pretty standard for airline food. @Southwest"
Southwest,negative,Lost my luggage again... extremely disappointed. @Southwest #awful
United,positive,Best flight ever. Will fly with you again. @United #amazing
American,neutral,"Flight was okay, nothing special. @American"
Virgin America,negative,The staff was incredibly rude and unhelpful. @VirginAmerica #awful
US Airways,positive,Smooth landing and great pilot. @USAirways #amazing
American,positive,Love the in-flight entertainment. @American #amazing
Delta,positive,Love the in-flight entertainment. @Delta #amazing
American,negative,Worst experience of my life. Flight delayed by 4 hours. @American #awful
Delta,neutral,Boarding was standard. @Delta
Delta,positive,The food was surprisingly good. @Delta #amazing
Delta,negative,The staff was incredibly rude and unhelpful. @Delta #awful
Virgin America,negative,Worst experience of my life. Flight delayed by 4 hours. @VirginAmerica #awful
United,negative,"Horrible boarding process, chaotic and stressful. @United #awful"
American,positive,I had a wonderful flight experience today! The crew was so polite. @American #amazing
US Airways,positive,The food was surprisingly good. @USAirways #amazing
Virgin America,neutral,Got from A to B safely. @VirginAmerica
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
American,positive,Super fast and efficient boarding process. Loved it! @American #amazing
American,negative,"Food was awful, could not eat anything. @American #awful"
American,negative,Worst experience of my life. Flight delayed by 4 hours. @American #awful
American,neutral,"Food was okay, pretty standard for airline food. @American"
Virgin America,negative,Why is my flight always delayed without any notice? @VirginAmerica #awful
American,positive,Very comfortable seats and plenty of legroom. @American #amazing
Delta,positive,I had a wonderful flight experience today! The crew was so polite. @Delta #amazing
US Airways,neutral,"Food was okay, pretty standard for airline food. @USAirways"
United,neutral,Average service. Could be better. @United
American,positive,Thank you for the amazing service. @American #amazing
Virgin America,neutral,"Food was okay, pretty standard for airline food. @VirginAmerica"
Southwest,positive,Great customer service at the gate. @Southwest #amazing
American,negative,"Food was awful, could not eat anything. @American #awful"
Delta,negative,Terrible customer service on the phone. @Delta #awful
US Airways,positive,Great customer service at the gate. @USAirways #amazing
Delta,negative,The staff was incredibly rude and unhelpful. @Delta #awful
United,neutral,Boarding was standard. @United
Southwest,negative,Lost my luggage again... extremely disappointed. @Southwest #awful
American,neutral,Average service. Could be better. @American
Southwest,positive,Smooth landing and great pilot. @Southwest #amazing
Delta,neutral,Arrived on time. Standard experience. @Delta
United,neutral,"Food was okay, pretty standard for airline food. @United"
United,negative,Why is my flight always delayed without any notice? @United #awful
US Airways,neutral,Got from A to B safely. @USAirways
United,positive,The food was surprisingly good. @United #amazing
Virgin America,negative,"Horrible boarding process, chaotic and stressful. @VirginAmerica #awful"
Virgin America,positive,Love the in-flight entertainment. @VirginAmerica #amazing
US Airways,neutral,Boarding was standard. @USAirways
American,negative,Lost my luggage again... extremely disappointed. @American #awful
Virgin America,positive,Best flight ever. Will fly with you again. @VirginAmerica #amazing
US Airways,positive,Super fast and efficient boarding process. Loved it! @USAirways #amazing
US Airways,neutral,Got from A to B safely. @USAirways
American,positive,Super fast and efficient boarding process. Loved it! @American #amazing
Southwest,negative,"Food was awful, could not eat anything. @Southwest #awful"
US Airways,neutral,"Food was okay, pretty standard for airline food. @USAirways"
United,neutral,"Flight was okay, nothing special. @United"
Virgin America,negative,Lost my luggage again... extremely disappointed. @VirginAmerica #awful
United,positive,Love the in-flight entertainment. @United #amazing
Southwest,negative,"Food was awful, could not eat anything. @Southwest #awful"
American,negative,The staff was incredibly rude and unhelpful. @American #awful
United,neutral,Arrived on time. Standard experience. @United
Delta,neutral,Average service. Could be better. @Delta
American,negative,The staff was incredibly rude and unhelpful. @American #awful
American,positive,Love the in-flight entertainment. @American #amazing
American,negative,"Horrible boarding process, chaotic and stressful. @American #awful"
Delta,negative,Lost my luggage again... extremely disappointed. @Delta #awful
US Airways,negative,Terrible customer service on the phone. @USAirways #awful
US Airways,positive,Love the in-flight entertainment. @USAirways #amazing
American,negative,"Horrible boarding process, chaotic and stressful. @American #awful"
US Airways,negative,Worst experience of my life. Flight delayed by 4 hours. @USAirways #awful
Virgin America,neutral,Got from A to B safely. @VirginAmerica
Southwest,positive,Great customer service at the gate. @Southwest #amazing
US Airways,negative,Worst experience of my life. Flight delayed by 4 hours. @USAirways #awful
Delta,positive,Great customer service at the gate. @Delta #amazing
Southwest,negative,"Food was awful, could not eat anything. @Southwest #awful"
Virgin America,neutral,Got from A to B safely. @VirginAmerica
Virgin America,negative,Terrible customer service on the phone. @VirginAmerica #awful
Southwest,positive,Very comfortable seats and plenty of legroom. @Southwest #amazing
Virgin America,neutral,Average service. Could be better. @VirginAmerica
Virgin America,neutral,Average service. Could be better. @VirginAmerica
Delta,positive,I had a wonderful flight experience today! The crew was so polite. @Delta #amazing
United,positive,Smooth landing and great pilot. @United #amazing
American,negative,"Horrible boarding process, chaotic and stressful. @American #awful"
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
US Airways,neutral,Just another flight. @USAirways
Southwest,positive,I had a wonderful flight experience today! The crew was so polite. @Southwest #amazing
Southwest,neutral,"Flight was okay, nothing special. @Southwest"
United,neutral,Arrived on time. Standard experience. @United
Southwest,neutral,Average service. Could be better. @Southwest
US Airways,neutral,"Flight was okay, nothing special. @USAirways"
American,neutral,Just another flight. @American
American,neutral,Boarding was standard. @American
Virgin America,neutral,Boarding was standard. @VirginAmerica
US Airways,positive,Smooth landing and great pilot. @USAirways #amazing
Virgin America,positive,I had a wonderful flight experience today! The crew was so polite. @VirginAmerica #amazing
Delta,negative,Seats are too small and uncomfortable. @Delta #awful
Delta,neutral,Just another flight. @Delta
Delta,neutral,Arrived on time. Standard experience. @Delta
Delta,positive,The food was surprisingly good. @Delta #amazing
United,neutral,Average service. Could be better. @United
Virgin America,positive,Best flight ever. Will fly with you again. @VirginAmerica #amazing
Virgin America,neutral,"Food was okay, pretty standard for airline food. @VirginAmerica"
Virgin America,negative,Terrible customer service on the phone. @VirginAmerica #awful
Virgin America,negative,Terrible customer service on the phone. @VirginAmerica #awful
American,neutral,"Food was okay, pretty standard for airline food. @American"
US Airways,negative,Seats are too small and uncomfortable. @USAirways #awful
American,neutral,Got from A to B safely. @American
US Airways,positive,Great customer service at the gate. @USAirways #amazing
American,positive,Smooth landing and great pilot. @American #amazing
American,negative,"Horrible boarding process, chaotic and stressful. @American #awful"
US Airways,neutral,Arrived on time. Standard experience. @USAirways
United,neutral,Average service. Could be better. @United
United,negative,The staff was incredibly rude and unhelpful. @United #awful
United,positive,Best flight ever. Will fly with you again. @United #amazing
United,neutral,"Food was okay, pretty standard for airline food. @United"
US Airways,negative,Seats are too small and uncomfortable. @USAirways #awful
American,positive,Super fast and efficient boarding process. Loved it! @American #amazing
Virgin America,positive,I had a wonderful flight experience today! The crew was so polite. @VirginAmerica #amazing
Southwest,neutral,Average service. Could be better. @Southwest
United,negative,"Horrible boarding process, chaotic and stressful. @United #awful"
Virgin America,neutral,Got from A to B safely. @VirginAmerica
Delta,neutral,Just another flight. @Delta
United,negative,Why is my flight always delayed without any notice? @United #awful
Delta,negative,"Horrible boarding process, chaotic and stressful. @Delta #awful"
American,neutral,"Food was okay, pretty standard for airline food. @American"
American,positive,Best flight ever. Will fly with you again. @American #amazing
American,positive,Thank you for the amazing service. @American #amazing
Southwest,negative,Seats are too small and uncomfortable. @Southwest #awful
Southwest,neutral,Got from A to B safely. @Southwest
Delta,positive,I had a wonderful flight experience today! The crew was so polite. @Delta #amazing
Southwest,positive,Great customer service at the gate. @Southwest #amazing
American,neutral,Got from A to B safely. @American
Delta,negative,Seats are too small and uncomfortable. @Delta #awful
American,negative,"Horrible boarding process, chaotic and stressful. @American #awful"
Southwest,positive,Super fast and efficient boarding process. Loved it! @Southwest #amazing
Virgin America,positive,Super fast and efficient boarding process. Loved it! @VirginAmerica #amazing
Delta,negative,Never flying with you again. Absolutely terrible. @Delta #awful
Southwest,positive,Great customer service at the gate. @Southwest #amazing
Delta,neutral,Arrived on time. Standard experience. @Delta
Virgin America,positive,Thank you for the amazing service. @VirginAmerica #amazing
Delta,neutral,Got from A to B safely. @Delta
United,neutral,Got from A to B safely. @United
American,negative,The staff was incredibly rude and unhelpful. @American #awful
US Airways,negative,Seats are too small and uncomfortable. @USAirways #awful
Virgin America,negative,The staff was incredibly rude and unhelpful. @VirginAmerica #awful
American,negative,Lost my luggage again... extremely disappointed. @American #awful
US Airways,neutral,Just another flight. @USAirways
Virgin America,neutral,Just another flight. @VirginAmerica
American,positive,Thank you for the amazing service. @American #amazing
United,negative,Why is my flight always delayed without any notice? @United #awful
Southwest,neutral,Boarding was standard. @Southwest
Delta,neutral,Arrived on time. Standard experience. @Delta
United,negative,The staff was incredibly rude and unhelpful. @United #awful
Virgin America,negative,"Food was awful, could not eat anything. @VirginAmerica #awful"
Southwest,negative,Never flying with you again. Absolutely terrible. @Southwest #awful
American,negative,Why is my flight always delayed without any notice? @American #awful
US Airways,negative,Seats are too small and uncomfortable. @USAirways #awful
Virgin America,positive,Super fast and efficient boarding process. Loved it! @VirginAmerica #amazing
Southwest,positive,Super fast and efficient boarding process. Loved it! @Southwest #amazing
Delta,negative,Seats are too small and uncomfortable. @Delta #awful
United,neutral,"Food was okay, pretty standard for airline food. @United"
Virgin America,neutral,Average service. Could be better. @VirginAmerica
United,positive,Thank you for the amazing service. @United #amazing
Delta,neutral,"Flight was okay, nothing special. @Delta"
American,negative,Never flying with you again. Absolutely terrible. @American #awful
Delta,negative,The staff was incredibly rude and unhelpful. @Delta #awful
Southwest,neutral,Got from A to B safely. @Southwest
United,positive,Smooth landing and great pilot. @United #amazing
Southwest,positive,Great customer service at the gate. @Southwest #amazing
US Airways,negative,The staff was incredibly rude and unhelpful. @USAirways #awful
US Airways,negative,Why is my flight always delayed without any notice? @USAirways #awful
American,positive,Best flight ever. Will fly with you again. @American #amazing
American,neutral,Boarding was standard. @American
Southwest,positive,Smooth landing and great pilot. @Southwest #amazing
Southwest,neutral,Average service. Could be better. @Southwest
Southwest,positive,Best flight ever. Will fly with you again. @Southwest #amazing
United,positive,Very comfortable seats and plenty of legroom. @United #amazing
American,neutral,Got from A to B safely. @American
US Airways,negative,Terrible customer service on the phone. @USAirways #awful
Delta,negative,Seats are too small and uncomfortable. @Delta #awful
Virgin America,positive,Thank you for the amazing service. @VirginAmerica #amazing
Southwest,negative,The staff was incredibly rude and unhelpful. @Southwest #awful
US Airways,neutral,"Flight was okay, nothing special. @USAirways"
American,negative,Terrible customer service on the phone. @American #awful
Virgin America,neutral,Just another flight. @VirginAmerica
American,neutral,Boarding was standard. @American
US Airways,positive,I had a wonderful flight experience today! The crew was so polite. @USAirways #amazing
US Airways,negative,Seats are too small and uncomfortable. @USAirways #awful
United,positive,Love the in-flight entertainment. @United #amazing
United,neutral,"Food was okay, pretty standard for airline food. @United"
American,negative,Terrible customer service on the phone. @American #awful
Delta,neutral,Just another flight. @Delta
Virgin America,positive,The food was surprisingly good. @VirginAmerica #amazing
American,positive,Smooth landing and great pilot. @American #amazing
Delta,neutral,Boarding was standard. @Delta
United,negative,Never flying with you again. Absolutely terrible. @United #awful
Southwest,positive,Love the in-flight entertainment. @Southwest #amazing
US Airways,neutral,Got from A to B safely. @USAirways
US Airways,neutral,Arrived on time. Standard experience. @USAirways
American,neutral,"Food was okay, pretty standard for airline food. @American"
United,negative,Worst experience of my life. Flight delayed by 4 hours. @United #awful
Virgin America,neutral,Boarding was standard. @VirginAmerica
Delta,negative,Seats are too small and uncomfortable. @Delta #awful
United,positive,The food was surprisingly good. @United #amazing
United,neutral,Arrived on time. Standard experience. @United
Delta,positive,Best flight ever. Will fly with you again. @Delta #amazing
Virgin America,positive,Super fast and efficient boarding process. Loved it! @VirginAmerica #amazing
US Airways,neutral,Just another flight. @USAirways
US Airways,neutral,Boarding was standard. @USAirways
Southwest,negative,Lost my luggage again... extremely disappointed. @Southwest #awful
American,neutral,Just another flight. @American
US Airways,positive,Super fast and efficient boarding process. Loved it! @USAirways #amazing
American,positive,Thank you for the amazing service. @American #amazing
US Airways,negative,The staff was incredibly rude and unhelpful. @USAirways #awful
Southwest,positive,Love the in-flight entertainment. @Southwest #amazing
Delta,neutral,Just another flight. @Delta
Delta,positive,The food was surprisingly good. @Delta #amazing
Virgin America,neutral,"Food was okay, pretty standard for airline food. @VirginAmerica"
American,negative,"Horrible boarding process, chaotic and stressful. @American #awful"
Delta,negative,"Horrible boarding process, chaotic and stressful. @Delta #awful"
US Airways,positive,Super fast and efficient boarding process. Loved it! @USAirways #amazing
US Airways,positive,Thank you for the amazing service. @USAirways #amazing
Virgin America,positive,The food was surprisingly good. @VirginAmerica #amazing
Southwest,neutral,Average service. Could be better. @Southwest
United,neutral,"Flight was okay, nothing special. @United"
Southwest,neutral,Got from A to B safely. @Southwest
United,negative,Terrible customer service on the phone. @United #awful
US Airways,positive,Love the in-flight entertainment. @USAirways #amazing
American,negative,The staff was incredibly rude and unhelpful. @American #awful
Southwest,neutral,"Flight was okay, nothing special. @Southwest"
Delta,neutral,Boarding was standard. @Delta
Southwest,positive,Great customer service at the gate. @Southwest #amazing
United,neutral,Got from A to B safely. @United
Virgin America,neutral,Got from A to B safely. @VirginAmerica
Delta,neutral,Boarding was standard. @Delta
US Airways,neutral,Arrived on time. Standard experience. @USAirways
US Airways,negative,Never flying with you again. Absolutely terrible. @USAirways #awful
Delta,neutral,"Flight was okay, nothing special. @Delta"
Southwest,positive,Smooth landing and great pilot. @Southwest #amazing
US Airways,neutral,"Flight was okay, nothing special. @USAirways"
Southwest,negative,"Horrible boarding process, chaotic and stressful. @Southwest #awful"
American,positive,Super fast and efficient boarding process. Loved it! @American #amazing
United,negative,Why is my flight always delayed without any notice? @United #awful
Virgin America,neutral,Got from A to B safely. @VirginAmerica
United,positive,Great customer service at the gate. @United #amazing
Southwest,negative,Terrible customer service on the phone. @Southwest #awful
United,neutral,Boarding was standard. @United
Southwest,neutral,Boarding was standard. @Southwest
Delta,positive,I had a wonderful flight experience today! The crew was so polite. @Delta #amazing
United,positive,Very comfortable seats and plenty of legroom. @United #amazing
Virgin America,positive,Smooth landing and great pilot. @VirginAmerica #amazing
Delta,negative,Lost my luggage again... extremely disappointed. @Delta #awful
United,neutral,"Food was okay, pretty standard for airline food. @United"
US Airways,neutral,Boarding was standard. @USAirways
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
US Airways,neutral,"Food was okay, pretty standard for airline food. @USAirways"
Virgin America,positive,The food was surprisingly good. @VirginAmerica #amazing
US Airways,neutral,Average service. Could be better. @USAirways
United,negative,Worst experience of my life. Flight delayed by 4 hours. @United #awful
Virgin America,negative,Never flying with you again. Absolutely terrible. @VirginAmerica #awful
United,negative,Seats are too small and uncomfortable. @United #awful
United,neutral,Average service. Could be better. @United
American,negative,The staff was incredibly rude and unhelpful. @American #awful
Delta,negative,Never flying with you again. Absolutely terrible. @Delta #awful
Delta,positive,Thank you for the amazing service. @Delta #amazing
Delta,positive,The food was surprisingly good. @Delta #amazing
Delta,neutral,Arrived on time. Standard experience. @Delta
American,positive,Thank you for the amazing service. @American #amazing
American,neutral,"Flight was okay, nothing special. @American"
United,positive,Love the in-flight entertainment. @United #amazing
Virgin America,neutral,Boarding was standard. @VirginAmerica
US Airways,positive,Best flight ever. Will fly with you again. @USAirways #amazing
Southwest,positive,Great customer service at the gate. @Southwest #amazing
Delta,negative,Seats are too small and uncomfortable. @Delta #awful
Virgin America,negative,Lost my luggage again... extremely disappointed. @VirginAmerica #awful
Virgin America,negative,Why is my flight always delayed without any notice? @VirginAmerica #awful
American,neutral,Arrived on time. Standard experience. @American
United,positive,Smooth landing and great pilot. @United #amazing
Southwest,positive,Love the in-flight entertainment. @Southwest #amazing
US Airways,positive,Very comfortable seats and plenty of legroom. @USAirways #amazing
US Airways,neutral,Just another flight. @USAirways
Southwest,positive,The food was surprisingly good. @Southwest #amazing
American,negative,Lost my luggage again... extremely disappointed. @American #awful
Virgin America,neutral,Just another flight. @VirginAmerica
Southwest,neutral,Boarding was standard. @Southwest
American,positive,Very comfortable seats and plenty of legroom. @American #amazing
US Airways,negative,The staff was incredibly rude and unhelpful. @USAirways #awful
Delta,neutral,"Flight was okay, nothing special. @Delta"
American,positive,Love the in-flight entertainment. @American #amazing
American,positive,Great customer service at the gate. @American #amazing
Virgin America,neutral,Just another flight. @VirginAmerica
US Airways,neutral,"Flight was okay, nothing special. @USAirways"
US Airways,positive,I had a wonderful flight experience today! The crew was so polite. @USAirways #amazing
Virgin America,positive,Super fast and efficient boarding process. Loved it! @VirginAmerica #amazing
Virgin America,neutral,Average service. Could be better. @VirginAmerica
Southwest,positive,Love the in-flight entertainment. @Southwest #amazing
American,negative,Terrible customer service on the phone. @American #awful
American,positive,Thank you for the amazing service. @American #amazing
American,neutral,Got from A to B safely. @American
Southwest,neutral,"Food was okay, pretty standard for airline food. @Southwest"
United,neutral,Just another flight. @United
US Airways,positive,Thank you for the amazing service. @USAirways #amazing
American,positive,Great customer service at the gate. @American #amazing
Virgin America,positive,Best flight ever. Will fly with you again. @VirginAmerica #amazing
Southwest,neutral,"Food was okay, pretty standard for airline food. @Southwest"
American,neutral,Arrived on time. Standard experience. @American
Southwest,negative,Terrible customer service on the phone. @Southwest #awful
American,neutral,Average service. Could be better. @American
Delta,negative,The staff was incredibly rude and unhelpful. @Delta #awful
Southwest,negative,Seats are too small and uncomfortable. @Southwest #awful
Southwest,neutral,Boarding was standard. @Southwest
US Airways,neutral,Arrived on time. Standard experience. @USAirways
Southwest,negative,Lost my luggage again... extremely disappointed. @Southwest #awful
American,neutral,Boarding was standard. @American
US Airways,neutral,Arrived on time. Standard experience. @USAirways
Southwest,neutral,Average service. Could be better. @Southwest
Delta,positive,Super fast and efficient boarding process. Loved it! @Delta #amazing
American,neutral,Just another flight. @American
American,negative,"Food was awful, could not eat anything. @American #awful"
Southwest,neutral,"Food was okay, pretty standard for airline food. @Southwest"
American,positive,Thank you for the amazing service. @American #amazing
US Airways,positive,Best flight ever. Will fly with you again. @USAirways #amazing
US Airways,neutral,Arrived on time. Standard experience. @USAirways
United,neutral,"Food was okay, pretty standard for airline food. @United"
Delta,positive,The food was surprisingly good. @Delta #amazing
US Airways,negative,Lost my luggage again... extremely disappointed. @USAirways #awful
United,neutral,Boarding was standard. @United
Delta,negative,Never flying with you again. Absolutely terrible. @Delta #awful
US Airways,neutral,"Food was okay, pretty standard for airline food. @USAirways"
Southwest,negative,Terrible customer service on the phone. @Southwest #awful
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
Virgin America,negative,The staff was incredibly rude and unhelpful. @VirginAmerica #awful
Virgin America,negative,Why is my flight always delayed without any notice? @VirginAmerica #awful
United,neutral,"Flight was okay, nothing special. @United"
Virgin America,positive,The food was surprisingly good. @VirginAmerica #amazing
Virgin America,negative,Terrible customer service on the phone. @VirginAmerica #awful
United,positive,I had a wonderful flight experience today! The crew was so polite. @United #amazing
Virgin America,neutral,"Flight was okay, nothing special. @VirginAmerica"
Southwest,neutral,"Flight was okay, nothing special. @Southwest"
US Airways,negative,Worst experience of my life. Flight delayed by 4 hours. @USAirways #awful
Virgin America,positive,Very comfortable seats and plenty of legroom. @VirginAmerica #amazing
Southwest,negative,Seats are too small and uncomfortable. @Southwest #awful
Southwest,positive,Smooth landing and great pilot. @Southwest #amazing
American,positive,Thank you for the amazing service. @American #amazing
Delta,neutral,Arrived on time. Standard experience. @Delta
United,positive,I had a wonderful flight experience today! The crew was so polite. @United #amazing
Delta,negative,Terrible customer service on the phone. @Delta #awful
United,positive,The food was surprisingly good. @United #amazing
American,neutral,Just another flight. @American
United,negative,Seats are too small and uncomfortable. @United #awful
US Airways,positive,Best flight ever. Will fly with you again. @USAirways #amazing
Southwest,negative,Worst experience of my life. Flight delayed by 4 hours. @Southwest #awful
Delta,negative,Lost my luggage again... extremely disappointed. @Delta #awful
Southwest,neutral,"Flight was okay, nothing special. @Southwest"
Southwest,negative,Seats are too small and uncomfortable. @Southwest #awful
Delta,negative,Terrible customer service on the phone. @Delta #awful
United,positive,Love the in-flight entertainment. @United #amazing
Southwest,negative,"Food was awful, could not eat anything. @Southwest #awful"
Delta,negative,Never flying with you again. Absolutely terrible. @Delta #awful
Virgin America,negative,Why is my flight always delayed without any notice? @VirginAmerica #awful
Southwest,neutral,Got from A to B safely. @Southwest
Virgin America,positive,Thank you for the amazing service. @VirginAmerica #amazing
Delta,negative,Lost my luggage again... extremely disappointed. @Delta #awful
Virgin America,neutral,Arrived on time. Standard experience. @VirginAmerica
Southwest,neutral,Arrived on time. Standard experience. @Southwest
American,neutral,"Food was okay, pretty standard for airline food. @American"
Virgin America,neutral,"Flight was okay, nothing special. @VirginAmerica"
Southwest,positive,Very comfortable seats and plenty of legroom. @Southwest #amazing
Southwest,positive,Thank you for the amazing service. @Southwest #amazing
Southwest,positive,Best flight ever. Will fly with you again. @Southwest #amazing
Southwest,positive,Love the in-flight entertainment. @Southwest #amazing
Delta,neutral,Arrived on time. Standard experience. @Delta
Southwest,positive,The food was surprisingly good. @Southwest #amazing
United,negative,Worst experience of my life. Flight delayed by 4 hours. @United #awful
US Airways,neutral,Just another flight. @USAirways
American,negative,Worst experience of my life. Flight delayed by 4 hours. @American #awful
American,positive,Love the in-flight entertainment. @American #amazing
US Airways,negative,The staff was incredibly rude and unhelpful. @USAirways #awful
American,negative,Worst experience of my life. Flight delayed by 4 hours. @American #awful
US Airways,positive,The food was surprisingly good. @USAirways #amazing
Virgin America,positive,Thank you for the amazing service. @VirginAmerica #amazing
American,negative,Never flying with you again. Absolutely terrible. @American #awful
Delta,negative,"Food was awful, could not eat anything. @Delta #awful"
American,neutral,Got from A to B safely. @American
United,negative,Terrible customer service on the phone. @United #awful
American,neutral,"Food was okay, pretty standard for airline food. @American"
United,neutral,"Flight was okay, nothing special. @United"
Delta,neutral,Average service. Could be better. @Delta
Virgin America,positive,Best flight ever. Will fly with you again. @VirginAmerica #amazing
US Airways,neutral,Boarding was standard. @USAirways
United,positive,I had a wonderful flight experience today! The crew was so polite. @United #amazing
Delta,neutral,"Flight was okay, nothing special. @Delta"
American,negative,"Horrible boarding process, chaotic and stressful. @American #awful"
